"en","az","ml","sq","mt","am","mk","mi","ar","mr","hy","af","mn","eu","de","ba","ne","be","no","bn","pa","my","bg","fa","bs","pl","cy","pt","hu","ro","vi","ru","ht","gl","sr","nl","si","sk","el","sl","ka","sw","gu","su","da","tg","he","th","yi","tl","id","ta","ga","tt","it","te","is","tr","es","kk","uz","kn","uk","ca","ur","ky","fi","zh","fr","ko","hi","xh","hr","km","cs","lo","sv","la","gd","lv","et","lt","eo","lb","jv","mg","ja","ms""millisecond","ms","മില്ലിസെക്കൻഡ്","të dytë","millisekonda","millisecond","милисекунда","hākonamano koe","ميلي ثانية واحدة","मिलिसेकंद","ms","millisekonde","millisecond","milisegundo","Millisekunde","миллисекунд","मिलीसेकेन्ड","мілісекунды","millisekund","মিলিসেকেন্ডে","ਮਿਲੀਸਕਿੰਟ","millisecond","милисекунда","میلی ثانیه","milisekundu","milisekundy","millisecond","milissegundo","milliszekundum","milisecundă","mili giây","миллисекунды","milisgond","milésima de segundo","милисекунди","milliseconde","මිලි තත්පර","milisekundy","χιλιοστό του δευτερολέπτου","milisekund","მილიწამი","millisecond","મિલિસેકન્ડ","millisecond","millisekund","миллисекунды","אלפית שנייה.","เสี้ยววินาที","מיליסעקאַנד","millisecond","milidetik","கணப்பொழுது","millisecond","миллисекунды","millisecondo","మిల్లిసెకనులో","millisekúndu","milisaniyelik","milisegundo","миллисекунды","millisecond","ಮಿಲಿಸೆಕೆಂಡ್","мілісекунди","mil · lèsima de segon","millisecond کی","миллисекунды","millisekunnin","毫秒","milliseconde","밀리세컨드","millisecond","millisecond","milisekundu","មិល្លី","milisekundu","millisecond","millisekund","millisecond","millisecond","milisekunžu","millisekundis","milisekundės","milisekundo","millisekunde","milidetik","millisecond","ミリ秒","milidetik"
"second","ikinci","രണ്ടാം","i dytë","it-tieni","ሁለተኛ","второ","tuarua","الثاني","दुसऱ्या","վայրկյան","tweede","хоер дахь","bigarren","Sekunde","секунд","दोस्रो","секунду","andre","দ্বিতীয়","ਦੂਜਾ","ဒုတိယ","секунда","دوم","drugi","chwilę","ail","segunda","második","a doua","thứ hai","секунду","dezyèm","segundo","секунди","tweede","දෙවන","druhý","δεύτερο","drugo","მეორე","pili","બીજા","kadua","andet","дуюм","השני","ที่สอง","רגע","pangalawa","kedua","இரண்டாவது","dara","- секундына","secondo","రెండవ","seinni","ikinci","segundo","секундына","ikkinchi","ಎರಡನೇ","секунду","segona","دوسری","секунда","toinen","第二","seconde","두 번째","दूसरा","yesibini","sekundi","ទីពីរ","druhý","ຄັ້ງທີສອງ","andra","secundo","an dara","otrais","teine","antras","dua","sekonn","kapindho","faharoa","第","kedua"
"minute","dəqiqə","മിനിറ്റ്","minutë","il minuta","ደቂቃ","минута","meneti","دقيقة","मिनिट","րոպե","minuut","минут","minutu","Minute","минут","मिनेट","хвіліну","liten","মিনিট","ਮਿੰਟ","မိနစ္","минута","دقیقه","minute","chwilę","munud","minutos","perc","minute","phút","минуту","minit","minuto","минут","minuut","විනාඩි","minúta","λεπτό","minuto","წუთი","dakika","મિનિટ","menit","minut","як дақиқа","דקה","นาที","מינוט","minuto","menit","நிமிடம்","nóiméad","минут","minuto","నిమిషం","mínútna","dakika","minuto","минутына","daqiqa","ನಿಮಿಷ","хвилину","minuts","منٹ","ошол мүнөттө","minuutin","钟","minute","분","मिनट","ngomzuzu","minuti","នាទី","minutu","ນາທີ","minuter","minutis","mionaid","minūtes","minut","minutės","minuto","minutt","menit","minitra","分","minit"
"hour","saat","മണിക്കൂര്","orë","siegħa","ሰዓት","час","haora","ساعة","तास","ժամ","uur","цаг","ordu","Stunde","сәғәт","घण्टा","гадзіну","time","ঘন্টা","ਘੰਟੇ","နာရီ","час","ساعت","sat","godzinę","awr","hora","óra","oră","giờ","час","èdtan","hora","сат","uur","පැය","hodina","ώρα","uro","საათი","saa","કલાક","jam","time","як соат","שעה","ชั่วโมง","שעה","oras","jam","மணி","uair an chloig","сәгать","ora","గంట","klukkustund","saat","hora","сағат","soat","ಗಂಟೆ","годину","hora","گھنٹے","саат","tunti","小时","heure","시간","घंटे","iyure","sat","ម៉ោង","hodinu","ຊົ່ວໂມ","timme","hora","uair","stunda","tund","valanda","horo","stonn","jam","ora","時間","jam"
"day","gün","ദിവസം","ditë","jum","ቀን","ден","ra","اليوم","दिवस","օր","dag","өдөр","egun","Tag","көн","दिन","дзень","dag","দিন","ਦਿਨ","နေ့","ден","روز","dan","dzień","dydd","dia","nap","zi","ngày","день","jou","día","дан","dag","දින","deň","ημέρα","dan","დღეს","siku","દિવસ","poé","dag","рӯзи","יום","วัน","טאָג","araw","hari","நாள்","lá","көн","giorno","డే","dag","gün","día","күні","kun","ದಿನ","день","dia","دن","күн","päivä","一天","jour","일","दिन","mhla","dan","ថ្ងៃ","den","ມື້","dag","die","latha","diena","päev","dieną","tago","dag","dina","andro","日","hari"
"week","həftə","ആഴ്ചയിൽ","javës","il-ġimgħa","ሳምንት","недела","wiki","الأسبوع","आठवडा","շաբաթ","week","долоо хоног","aste","Woche","аҙна","हप्ता","тыдзень","uke","সপ্তাহে","ਹਫਤੇ","အပတ်က","седмица","هفته","tjedan","tydzień","wythnos","semana","hét","saptamana","tuần","неделю","semèn","semana","недељу дана","week","සතියේ","týždeň","εβδομάδα","teden","კვირა","wiki","સપ્તાહ","minggu","uge","як ҳафта","שבוע","อาทิตย์","וואָך","linggo","minggu","வாரம்","tseachtain","атна","settimana","వారం","viku","hafta","semana","аптасына","hafta","ವಾರ","тиждень","setmana","ہفتے","бир жума","viikolla","周","semaine","주","सप्ताह","iveki","tjedno","សប្តាហ៍","týden","ອາທິດ","vecka","septimana","an t-seachdain","nedēļa","nädal","savaitę","semajno","woch","minggu","herinandro","週間","minggu"
"month","ay","മാസം","muaj","xahar","ወር","месец","marama","الشهر","महिना","ամիս","maand","сар","hilabete","Monat","ай","महिना","месяц","måned","মাস","ਮਹੀਨੇ","အလုပ္","месец","ماه","mjesec","miesiąc","mis","mês","hónap","luna","tháng","месяц","mwa","mes","месец","maand","මාසය","mesiac","μήνα","mesec","თვის","mwezi","મહિને","bulan","måned","як моҳ","בחודש","เดือนนึง","חודש","buwan","bulan","மாதம்","mí","ай","mese","నెల","mánuð","ay","mes","ай","oy","ತಿಂಗಳು","місяць","mes","ماہ","ай","kuukausi","一个月","mois","달","महीने","inyanga","mjesec","ខែ","měsíc","ເດືອນ","månad","mense","mìos","mēnesis","kuu","mėnesį","monato","mount","sasi","volana","月","bulan"
"year","yaş","വർഷം","viti","is-sena","ዓመት","година","tau","العام","वर्ष","տարի","jaar","жил","urte","Jahr","йыл","वर्ष","год","året","বছর","ਸਾਲ","နှစ်","година","سال","godine","rok","flwyddyn","ano","év","an","năm","год","ane","ano","годину","jaar","වසරේ","rok","έτος","leto","წელი","mwaka","વર્ષ","taun","år","соли","שנה","ปี","יאָר","taon","tahun","ஆண்டு","bliain","елга","anno","సంవత్సరం","ári","yıl","año","жыл","yil","ವರ್ಷದ","рік","any","سال","- жыл","vuonna","年","année","년도","वर्ष","nyaka","godine","នៅឆ្នាំ","rok","ປີ","år","anno","bliadhna","gads","aasta","metų","jaro","joer","taun","taona","年","tahun"
"decade","on","ദശകം","dekadë","għaxar snin","ከዜጎቹ","деценија","i te tekau tau","العقد","दशकात","տասնամյակում","dekade","арван жил","hamarkada","Jahrzehnt","тиҫтәнән","दशक","дзесяцігоддзе","tiåret","এক দশক","ਦਹਾਕੇ","ဆယ်စုနှစ်","десетилетие","دهه","decenije","dekady","degawd","década","évtized","deceniu","thập kỷ","десятилетие","dekad","década","деценију","tien jaar","දශකය","desať rokov","δεκαετία","desetletje","ათი წლის","muongo","દાયકા","dékade","ti år","даҳсолаи","עשור","ทศวรรษ","יאָרצענדלינג","dekada","dekade","தசாப்தத்திற்கு","deich mbliana","унъеллыкта","decennio","దశాబ్దం","áratug","on yıl","década","онжылдық","o'n yil","ದಶಕದ","десятиліття","dècada","دہائی","он жылдан бери","vuosikymmenen","十年","décennie","년","दशक","decade","deset godina","ទសវត្សរ៍","desetiletí","ທົດສະວັດ","decennium","decennium","deichead","desmit gadu laikā","kümne aasta","dešimtmetį","jardeko","joerzéngt","dasawarsa","folo taona","代","dekad"
"century","əsr","നൂറ്റാണ്ട്","shekulli","seklu","ክፍለ ዘመን","век","rau","القرن","शतक","դարի","eeu","зууны","mendean","Jahrhundert","быуат","शताब्दी","стагоддзя","århundre","সেঞ্চুরি","ਸਦੀ","ရာစု","- ти век","قرن","stoljeća","wieku","ganrif","século","században","lea","thế kỷ","века","syèk","século","века","eeuw","සියවසේ","storočia","αιώνα","stoletja","საუკუნის","karne","સદી","abad","århundrede","асри","המאה","ศตวรรษ","יאָרהונדערט","siglo","century","நூற்றாண்டு","haois","гасыр","secolo","శతాబ్దం","öld","yüzyıl","siglo","ғасырдың","asr","ಶತಮಾನದ","століття","xx","صدی","кылымдын","vuosisadan","世纪","siècle","기","सदी","century","stoljeća","វត្ស","století","ສະຕະວັດທີ","talet","century","linn","gadsimtā","sajandil","a.","jarcento","joerhonnert","century","century","世紀","abad"
"millennium","minillik","മില്ലേനിയം","Të mijëvjeçarit","Tal-millennju","ከፊሊጶስ","Милениум","Mano tau","الألفية","मिलेनियम","հազարամյակ","Millennium","Мянганы","Millennium","Jahrtausend","мең йыллыҡтар","सहस्राब्दी","тысячагоддзе","Millennium","মিলেনিয়াম","Millennium","ထောင်","хилядолетие","هزاره","Milenijuma","tysiąclecie","Mileniwm","Millennium","Millennium","Millennium","Thiên niên kỷ","тысячелетие","Milenè","Milenio","миленијум","Millennium","සහශ්ර","Millennium","Millennium","Tisočletja","ათასწლეულის","Milenia","મિલેનિયમ","Milénium","Millennium","як ҳазор","מילניום","Millennium","מיללענניום","Milenyo","Millennium","மில்லினியம்","Na mílaoise","мең","millennio","మిలీనియం","Millennium","Milenyum","milenio","мыңжылдық","Mingyillik","ಮಿಲೇನಿಯಮ್","тисячоліття","Mil·lenni","ملینیم","тысячелетие","Vuosituhannen","千年","millénaire","Millennium","मिलेनियम","Imileniyam","tisućljeće","វត្សរ៍","Tisíciletí","ສະຫັດສະວັດ","Millennium","Millennium","Mìle bliadhna","Tūkstošgades","Millennium","Tūkstantmečio","Jarmilo","joerdausend","Millennium","Taonarivo","ミレニアム","Millennium"
"milliseconds","миллисекундах","ത്തിനും","milisekonda","millisekondi","አዳዲስ","милисекунди","hākonamano","ميلي ثانية","मिलिसेकंद","миллисекундах","millisekondes","миллисекунд","milisegundotan","Millisekunden","миллисекунд","मिलिसेकेन्ड","мілісекундах","millisekunder","মিলিসেকেন্ড","ਮਿਲੀਸਕਿੰਟ","စက္ကန်","милисекунди.","میلی ثانیه","milisekundi","milisekundach","milieiliadau","milissegundos","milliszekundum","de milisecunde","mili giây","миллисекундах","milisgond","milisegundos","милисекундама","milliseconden","අනුරූපව මිලි තත්පර","milisekundách","χιλιοστά του δευτερολέπτου","milisekund","მილიწამებში","milliseconds","મિલિસેકન્ડોમાં","milliseconds","millisekunder","миллисекундах","מילישניות.","หน่วยมิลลิวินาที","מיליסעקאַנדז","millisecond","milidetik","மில்லி விநாடிகளில்","milleasoicind","миллисекундах","millisecondi","మిల్లీసెకన్లు","millisekúndur","milisaniye","milisegundos","миллисекундах","milliseconds","ಮಿಲಿಸೆಕೆಂಡುಗಳು","мілісекундах","mil·lisegons","milliseconds","миллисекундах","millisekuntia","毫秒","millisecondes","밀리초 단위","मिसे","neon","milisekundama","មិល្លី","milisekund","ວິນາທີ","millisekunder","milliseconds","milliseconds","milisekundēs","millisekundit","milisekundžių","milisekundoj","millisekonne","milliseconds","milliseconds","ミリ秒","milidetik"
"seconds","saniyə","സെക്കൻഡ്","sekonda","sekondi",".","секунди","hēkona","ثانية","सेकंद","վայրկյան","sekondes","секунд","segundo","Sekunden","секунд","सेकेन्ड","секунд","sekunder","সেকেন্ড","ਸਕਿੰਟ","စက္ကန့်","секунди","ثانیه","sekundi","sekund","eiliad","segundos","másodperc","secunde","giây","секунд","segonn","segundos","секунди","seconden","තත්පර","sekúnd","δευτερόλεπτα","sekund","წამი","sekunde","સેકન્ડ","detik","sekunder","сония","שניות","วินาที","סעקונדעס","segundo","detik","விநாடிகள்","soicind","секунд","secondi","సెకన్లు","sekúndur","saniye","segundos","секунд","soniya","ಸೆಕೆಂಡುಗಳ","секунд","segons","سیکنڈ","секунд","sekuntia","几秒钟","secondes","초","सेकंड","imizuzwana","sekundi","វិនាទី","sekund","ວິນາທີ","sekunder","secundus","seconds","sekundes","sekundit","sekundžių","sekundoj","sekonnen","detik","segondra","秒","saat"
"minutes","dəqiqə","മിനിറ്റ്","minuta","minuti","ደቂቃዎች","минути","meneti","دقائق","मिनिटे","րոպե","minute","минут","minutu","Minuten","минут","मिनेट","хвілін","minutter","মিনিট","ਮਿੰਟ","မိနစ်","минути","دقیقه","minute","min.","munud","minutos","perc","minute","phút","минут","minit","minutos","минута","minuten","විනාඩි","minút","λεπτά","minut","წუთი","dakika","મિનિટ","menit","minutter","дақиқа","דקות","นาที","מינוט","minuto","menit","நிமிடங்கள்","nóiméad","минут","minuti","నిమిషాలు","mínútum","dakika","minutos","минут","daqiqa","ನಿಮಿಷಗಳ","хвилин","minuts","منٹ","минут","minuuttia","分钟","minutes","분","मिनट","imizuzu","minuta","នាទី","minut","ນາທີ","minuter","minutes","mionaid","minūtes","minutit","minutes","minutoj","minutte","menit","minitra","分","minit"
"hours","saat","മണിക്കൂർ","orë","sigħat",".","часа","haora","ساعات","तास","ժամ","ure","цаг","ordu","Stunden","сәғәт","घण्टा","гадзін","timer","ঘন্টা","ਘੰਟੇ","နာရီ","часа","ساعت","sata","godzin","oriau","horas","óra","ore","giờ","часов","èdtan","horas","сати","uur","පැය","hodín","ώρες","ur","საათი","masaa","કલાક","jam","timer","соат","שעות","ชั่วโมง","שעה","oras","jam","மணி","uair an chloig","сәгать","ore","గంటల","klukkustundir","saat","horas","сағат","soat","ಗಂಟೆಗಳ","годин","hores","گھنٹے","сааттын","tuntia","小时","heures","시간","घंटे","iiyure","sati","ម៉ោង","hodin","ຊົ່ວໂມ","timmar","horas","uair","stundas","tundi","valandos","horoj","stonnen","jam","ora","時間","jam"
"days","gün","ദിനങ്ങൾ","ditë","- il jum","ቀናት","дена","ra","أيام","दिवस","օր","dae","өдөр","egun","Tage","көн","दिन","дзён","dager","দিন","ਦਿਨ","ရက်","дни","روز","dana","dni","diwrnod","dias","nap","zile","ngày","дней","jou","días","дана","dagen","දින","dní","ημέρες","dni","დღის","siku","દિવસ","poe","dage","рӯз","ימים","วัน","טעג","araw","hari","நாட்கள்","lá","көн","giorni","రోజులు","daga","gün","días","күн","kun","ದಿನಗಳು","днів","dies","دن","күн","päivää","天","jours","일","दिन","kwiintsuku","dana","ថ្ងៃ","dny","ມື້","dagar","diebus","làithean","dienas","päeva","dienų","tagoj","deeg","dina","andro","日","hari-hari"
"weeks","həftə","മാസം","javë","ġimgħat","የሚሰጡዋቸውን","недели","wiki","أسابيع","आठवडे","շաբաթ","weke","долоо хоног","aste","Wochen","аҙна","सप्ताह","тыдня","uker","সপ্তাহ","ਹਫ਼ਤੇ","ပတ္","седмица","هفته","tjedana","tygodnie","wythnos","semanas","hét","săptămâni","tuần","недели","semèn","semanas","недеља","weken","සති","týždňov","εβδομάδες","tednov","კვირის","wiki","અઠવાડિયા","minggu","uger","ҳафта","שבועות","อาทิตย์","וואָכן","linggo","minggu","வாரங்கள்","seachtaine","атна","settimane","వారాల","vikum","hafta","semanas","апта","hafta","ವಾರಗಳ","тижня","setmanes","ہفتے","жуманын","viikkoa","星期","semaines","주","सप्ताह","kwiiveki","tjedna","សប្តាហ៍","týdny","ອາທິດ","veckor","septimanas","cola-deug","nedēļas","nädalat","savaites","semajnoj","wochen","minggu","herinandro","週間","minggu"
"months","ay","മാസം","muaj","xhur","ወራት","месеци","marama","أشهر","months","ամիս","maande","сар","hilabete","Monate","ай","महिना","месяцаў","måneder","মাস","ਮਹੀਨੇ","လ","месеца","ماه","mjeseci","miesięcy","mis","meses","hónap","luni","tháng","месяцев","mwa","meses","месеци","maanden","මාස","mesiacov","μήνες","mesecev","თვის","miezi","months","bulan","måneder","моҳ","חודשים","เดือน","חדשים","buwan","bulan","மாதங்கள்","mhí","ай","mesi","months","mánuðum","ay","meses","ай","oy","ತಿಂಗಳ","місяців","mesos","ماہ","ай","kuukautta","几个月","mois","개월","महीने","kwiinyanga","mjeseci","ខែ","měsíců","ເດືອນ","månader","menses","mìos","mēneši","kuud","mėnesių","monatoj","méint","sasi","volana","ヶ月","bulan"
"years","yaş","വര്ഷം","vjet","snin","ዓመት","години","tau","سنوات","वर्षे","տարի","jaar","жил","urte","Jahre","йыл","वर्ष","гадоў","år","বছর","ਸਾਲ","နှစ်","години","سال","godina","lat","mlynedd","anos","év","ani","năm","лет","ane","anos","година","jaar","වසර","rokov","χρόνια","leta","წლის","miaka","વર્ષ","taun","år","сол","שנים","ปี","יאָרן","taon","tahun","ஆண்டுகள்","bliain","ел","anni","సంవత్సరాల","ára","yıl","años","жыл","yil","ವರ್ಷಗಳ","років","anys","سال","жыл","vuotta","年","ans","세","साल","iminyaka","godina","ឆ្នាំ","let","ປີ","år","annis","bliadhna","gadi","aasta","metų","jaroj","joer","taun","taona","年","tahun-tahun"
"decades","onilliklər","പതിറ്റാണ്ടുകളായി","dekada","deċennji","ሆኗል","децении","tekau","عقود","दशके","տասնամյակների ընթացքում","dekades","арван жилийн","hamarkada","Jahrzehnte","тиҫтәнән","दशक","дзесяцігоддзі","tiår","দশক","ਦਹਾਕੇ","ဆယ်စုနှစ်","десетилетие","دهه","decenijama","dekady","degawdau","décadas","évtizedek","zeci de ani","nhiều thập kỷ","десятилетия","dè dekad","décadas","деценије","decennia","දශක","desaťročia","δεκαετίες","desetletja","ათწლეულების განმავლობაში","miongo kadhaa","દાયકાઓ સુધી","puluhan","årtier","даҳсолаи","עשרות שנים","รอบหลายศตวรรษ","דעקאַדעס","dekada","dekade","பல தசாப்தங்களாக","fiche nó tríocha bliain","унъеллык","decenni","దశాబ్దాల","áratugi","yıllardır","décadas","онжылдықта","o'n yilliklar","ದಶಕಗಳ","десятиліття","dècades","دہائیوں","он","vuosikymmeniä","几十年","décennies","수십 년","दशकों","decades","desetljeća","វត្ស","desetiletí","ທົດສະວັດ","årtionden","decades","deichead","gadu desmitiem","aastakümneid","dešimtmečius","jardekoj","joerzéngte","puluh","am-polo taona","数十年","dekad"
"centuries","əsrlər","നൂറ്റാണ്ടുകൾ","shekuj","sekli","centuries","со векови","te mau tenetere","قرون","शतके","դարերի","eeue","олон зууны","mendeetan","Jahrhunderte","быуат","शताब्दीयौं","стагоддзяў","århundrer","শতাব্দী","ਸਦੀ","ရာစုနှစ်","векове","قرن","vekovima","wieków","canrifoedd","séculos","évszázadokkal","secole","nhiều thế kỷ","веков","syèk","séculos","векова","eeuwen","සියවස්","storočí","αιώνες","stoletja","საუკუნეების","karne","સદીઓ","abad","århundreder","асрҳо","מאות שנים.","หลายศตวรรษ","סענטשעריז","siglo","berabad-abad","பல நூற்றாண்டுகளாக","céadta bliain","гасырлар","secoli","శతాబ్దాల","öldum","yüzyıllar","siglos","ғасырлар","asrlar","ಶತಮಾನಗಳ","століть","segles","صدیوں","кылымдар","vuosisatojen","几个世纪","siècles","기","सदियों","centuries","stoljeća","សតវត្ស","století","ສັດຕະວັດ","århundraden","saecula","linn","gadsimtiem","sajandil","amžius","jarcentoj","joerhonnerte","abad","nandritra ny taonjato maro","何世紀もの","berabad-abad"
